theta:5.087819E-01, phi:4.576357E+00, threshold:1.228032E-06, Time: 998.411345
theta:3.427174E-01, phi:6.788871E-01, threshold:2.765774E-07, Time: 995.214347
theta:2.271254E+00, phi:5.853096E+00, threshold:3.042142E-04, Time: 368.608279
theta:1.465015E+00, phi:3.336550E+00, threshold:8.752033E-05, Time: 676.719671
theta:1.886877E+00, phi:2.857988E+00, threshold:1.964609E-04, Time: 384.591303
theta:3.129228E+00, phi:4.761856E+00, threshold:4.629418E-04, Time: 319.823776
theta:2.871744E+00, phi:6.945875E-02, threshold:4.492614E-04, Time: 320.411178
theta:9.974184E-01, phi:6.034873E+00, threshold:2.000070E-05, Time: 534.868063
theta:4.854486E-01, phi:5.887310E+00, threshold:1.123495E-06, Time: 829.723152
theta:1.651362E+00, phi:2.497639E+00, threshold:1.083908E-04, Time: 454.277507
theta:2.512266E+00, phi:3.255005E+00, threshold:3.886601E-04, Time: 400.726093
theta:2.542063E+00, phi:1.424189E+00, threshold:3.233071E-04, Time: 346.117443
theta:1.184479E+00, phi:3.651065E+00, threshold:3.565963E-05, Time: 800.546120
theta:2.109138E+00, phi:3.529302E+00, threshold:2.575338E-04, Time: 482.414195
theta:2.458821E+00, phi:2.208106E+00, threshold:3.176540E-04, Time: 347.772267
theta:6.323623E-01, phi:1.741496E+00, threshold:2.789329E-06, Time: 881.943390
theta:3.035833E+00, phi:1.760260E+00, threshold:4.574500E-04, Time: 320.543826
theta:2.199416E+00, phi:1.320695E+00, threshold:2.099186E-04, Time: 373.248097
theta:8.693660E-01, phi:3.876090E+00, threshold:1.029226E-05, Time: 962.634114
theta:4.811934E-02, phi:9.016684E-02, threshold:nil, Time: nil
theta:4.811934E-02, phi:9.016684E-02, threshold:1.029226E-05, Time: 693.715570
theta:1.519749E-01, phi:5.885038E+00, threshold:nil, Time: nil
theta:1.519749E-01, phi:5.885038E+00, threshold:1.029226E-05, Time: 614.156436
theta:2.017445E+00, phi:7.943837E-01, threshold:1.900147E-04, Time: 375.093778
theta:1.243080E+00, phi:1.750852E-01, threshold:4.773154E-05, Time: 481.944849
theta:5.944715E-01, phi:1.968159E+00, threshold:2.253742E-06, Time: 963.649423
theta:5.363017E-01, phi:1.543577E+00, threshold:1.496505E-06, Time: 960.800179
theta:2.156065E+00, phi:3.052085E+00, threshold:2.911608E-04, Time: 347.092638
theta:1.962077E+00, phi:4.199172E+00, threshold:1.557374E-04, Time: 613.668002
theta:1.832372E+00, phi:4.170004E+00, threshold:1.261160E-04, Time: 401.463636
theta:1.870802E+00, phi:2.683293E+00, threshold:1.781784E-04, Time: 399.724924
theta:1.487381E-01, phi:6.112958E+00, threshold:nil, Time: nil
theta:1.487381E-01, phi:6.112958E+00, threshold:1.781784E-04, Time: 641.744112
theta:2.419466E+00, phi:3.896828E-01, threshold:3.513588E-04, Time: 480.070025
theta:2.762721E+00, phi:3.268774E+00, threshold:4.354969E-04, Time: 320.084743
theta:2.249212E+00, phi:5.437651E+00, threshold:2.561963E-04, Time: 479.689912
theta:2.746950E+00, phi:8.937793E-01, threshold:4.077254E-04, Time: 347.703809
theta:6.372469E-01, phi:4.546556E+00, threshold:2.869666E-06, Time: 935.675756
theta:8.077051E-02, phi:1.808574E+00, threshold:nil, Time: nil
theta:8.077051E-02, phi:1.808574E+00, threshold:2.869666E-06, Time: 613.342465
theta:2.176444E+00, phi:1.631333E+00, threshold:1.990210E-04, Time: 373.081438
theta:3.756680E-01, phi:2.383819E+00, threshold:3.956084E-07, Time: 959.001095
theta:1.732342E+00, phi:3.245862E-01, threshold:1.486311E-04, Time: 639.877062
theta:6.942614E-01, phi:1.799041E+00, threshold:3.959063E-06, Time: 856.817189
theta:2.582049E+00, phi:3.579048E+00, threshold:3.906591E-04, Time: 374.119321
theta:6.842598E-02, phi:2.847918E+00, threshold:nil, Time: nil
theta:6.842598E-02, phi:2.847918E+00, threshold:3.906591E-04, Time: 639.939332
theta:1.184287E+00, phi:2.615854E+00, threshold:3.539765E-05, Time: 668.191656
theta:1.427523E+00, phi:4.559774E+00, threshold:4.934079E-05, Time: 454.944283
theta:4.561022E-01, phi:3.859477E-01, threshold:8.768821E-07, Time: 933.391463
theta:2.892820E+00, phi:4.855917E+00, threshold:4.331695E-04, Time: 328.199791
theta:1.809684E+00, phi:5.097402E-01, threshold:1.567727E-04, Time: 554.920235
theta:2.562247E+00, phi:4.186758E+00, threshold:3.447604E-04, Time: 360.732041
theta:2.770965E+00, phi:2.627578E+00, threshold:4.276494E-04, Time: 332.302120
theta:3.564938E-01, phi:4.073493E+00, threshold:3.183789E-07, Time: 1180.071252
theta:1.493109E+00, phi:2.785174E-01, threshold:9.133790E-05, Time: 613.683411
theta:1.218181E+00, phi:2.660330E+00, threshold:4.005273E-05, Time: 625.789781
theta:7.996008E-01, phi:3.448870E+00, threshold:8.262235E-06, Time: 587.358208
theta:1.312064E+00, phi:3.676438E-01, threshold:5.524619E-05, Time: 613.211822
theta:1.101283E+00, phi:4.742375E+00, threshold:2.028070E-05, Time: 826.662467
theta:2.063727E+00, phi:2.995054E+00, threshold:2.600740E-04, Time: 480.877616
theta:3.280397E-01, phi:1.539155E+00, threshold:2.254486E-07, Time: 936.348204
theta:8.913781E-01, phi:4.825529E-01, threshold:1.217993E-05, Time: 587.004066
theta:1.591316E-01, phi:2.608021E+00, threshold:nil, Time: nil
theta:1.591316E-01, phi:2.608021E+00, threshold:1.217993E-05, Time: 642.211181
theta:2.011779E+00, phi:5.113992E+00, threshold:1.627864E-04, Time: 401.315419
theta:2.822977E+00, phi:3.595463E+00, threshold:4.381289E-04, Time: 321.479871
theta:2.896567E+00, phi:1.631842E+00, threshold:4.337277E-04, Time: 321.002268
theta:1.277143E+00, phi:2.567192E+00, threshold:4.573294E-05, Time: 506.669446
theta:1.800696E+00, phi:2.902867E-01, threshold:1.701692E-04, Time: 427.496280
theta:1.628877E+00, phi:3.194522E+00, threshold:1.298596E-04, Time: 400.614712
theta:1.797990E+00, phi:3.566902E-01, threshold:1.650376E-04, Time: 428.258547
theta:2.589063E+00, phi:5.072154E+00, threshold:3.459323E-04, Time: 347.736596
theta:1.492067E+00, phi:7.874686E-01, threshold:7.117226E-05, Time: 454.809194
theta:2.355909E+00, phi:4.060628E+00, threshold:2.846048E-04, Time: 346.140263
theta:1.115714E+00, phi:7.794062E-01, threshold:2.554626E-05, Time: 588.901048
theta:2.670134E+00, phi:6.867002E-01, threshold:3.978851E-04, Time: 426.485911
theta:2.035307E+00, phi:1.634965E-01, threshold:2.502525E-04, Time: 480.591243
theta:1.972421E+00, phi:2.772448E+00, threshold:2.163311E-04, Time: 373.207453
theta:4.220328E-01, phi:4.166037E+00, threshold:6.123952E-07, Time: 908.048007
theta:2.079550E+00, phi:4.830091E+00, threshold:1.719997E-04, Time: 401.303945
theta:4.571223E-01, phi:4.409237E+00, threshold:8.211233E-07, Time: 911.707002
theta:8.267874E-01, phi:5.615944E+00, threshold:8.668394E-06, Time: 773.598611
theta:3.393403E-01, phi:5.260890E+00, threshold:nil, Time: nil
theta:3.393403E-01, phi:5.260890E+00, threshold:8.668394E-06, Time: 589.912170
theta:3.111733E+00, phi:3.544493E+00, threshold:4.628082E-04, Time: 319.683690
theta:2.878691E+00, phi:4.269781E+00, threshold:4.331090E-04, Time: 319.968863
theta:1.432100E+00, phi:6.214274E+00, threshold:8.238630E-05, Time: 665.931899
theta:1.134647E+00, phi:8.484491E-01, threshold:2.640422E-05, Time: 535.235685
theta:2.053162E+00, phi:3.359435E+00, threshold:2.530128E-04, Time: 401.232624
theta:1.698228E+00, phi:3.691182E+00, threshold:1.251386E-04, Time: 400.878090
theta:1.237874E+00, phi:3.448370E+00, threshold:4.539616E-05, Time: 479.980432
theta:9.933633E-01, phi:2.849738E+00, threshold:1.950252E-05, Time: 533.945726
theta:2.768614E+00, phi:4.384300E+00, threshold:4.027654E-04, Time: 401.657478
theta:2.511052E+00, phi:4.717665E+00, threshold:3.108974E-04, Time: 346.538882
theta:4.957323E-01, phi:5.811865E+00, threshold:1.213037E-06, Time: 908.001512
theta:3.116577E+00, phi:3.797063E+00, threshold:4.628268E-04, Time: 320.915668
theta:1.940201E+00, phi:3.987114E+00, threshold:1.643735E-04, Time: 481.537833
theta:2.825235E+00, phi:6.012403E+00, threshold:4.420994E-04, Time: 320.007959
theta:3.045151E-01, phi:4.408190E+00, threshold:nil, Time: nil
theta:3.045151E-01, phi:4.408190E+00, threshold:4.420994E-04, Time: 693.153706
theta:2.366588E+00, phi:4.859710E-01, threshold:3.280044E-04, Time: 348.498173
theta:1.388474E+00, phi:4.668315E+00, threshold:4.457494E-05, Time: 481.719966
theta:1.748996E+00, phi:2.074338E+00, threshold:1.065485E-04, Time: 507.458074
theta:1.184269E+00, phi:2.858455E+00, threshold:3.863469E-05, Time: 695.500224
theta:1.133961E+00, phi:1.191136E+00, threshold:2.352032E-05, Time: 559.761030
theta:1.373983E-01, phi:3.849388E+00, threshold:nil, Time: nil
theta:1.373983E-01, phi:3.849388E+00, threshold:2.352032E-05, Time: 641.677485
theta:1.598106E+00, phi:6.180695E+00, threshold:1.210485E-04, Time: 400.308998
theta:2.534482E+00, phi:1.260920E+00, threshold:3.250881E-04, Time: 346.431136
theta:8.382274E-01, phi:4.379569E+00, threshold:7.978936E-06, Time: 881.162340
theta:2.746751E-01, phi:5.230137E+00, threshold:nil, Time: nil
theta:2.746751E-01, phi:5.230137E+00, threshold:7.978936E-06, Time: 640.346570
theta:2.198562E+00, phi:5.253064E+00, threshold:2.249913E-04, Time: 374.640264
theta:7.222924E-01, phi:2.307991E+00, threshold:4.975224E-06, Time: 749.187342
theta:2.045025E+00, phi:4.313171E+00, threshold:1.715476E-04, Time: 455.564512
theta:2.795014E+00, phi:4.119827E+00, threshold:4.169373E-04, Time: 320.222997
theta:2.050939E+00, phi:5.396407E+00, threshold:1.918004E-04, Time: 373.875813
theta:3.065410E+00, phi:2.356934E+00, threshold:4.609899E-04, Time: 320.160545
theta:1.031646E+00, phi:1.895554E+00, threshold:1.670142E-05, Time: 561.361073
theta:1.946409E+00, phi:2.746912E+00, threshold:2.061481E-04, Time: 372.971286
theta:3.101404E-02, phi:5.797408E+00, threshold:nil, Time: nil
